ticker,frequency,model,n_samples,lookback_bars,target_horizon_bars,MSE,RMSE,MAE,R2,QLIKE
SPY,1m,SIG,2250,195.0,5,0.0023571378005659994,0.04855036354720734,0.024832229284535493,-0.029830438580351615,-2.037943115188024
SPY,1m,HAR_RV,2250,,5,0.002233616240157857,0.04726114937406683,0.0224550245296303,0.024135970468241896,-2.076663469700447
SPY,1m,XGBOOST,2250,,5,0.0026530067494805213,0.05150734655833594,0.02412581804628608,-0.15909519745434952,-2.062168097349313
SPY,1m,GARCH,2250,,5,0.004417849799543245,0.06646690755212886,0.03912629108318284,-0.9301528300777635,-2.0149657048292378
SPY,5m,SIG,3875,78.0,5,0.03326055989997072,0.1823747786838156,0.09812018115449078,0.0454128561053847,-0.7543544279600074
SPY,5m,HAR_RV,3875,,5,0.0347500206961175,0.18641357433437486,0.10383591410930917,0.0026649248735353126,-0.7317610773483777
SPY,5m,XGBOOST,3875,,5,0.034898343820908666,0.18681098420839357,0.10163137314266155,-0.0015919892762485954,-0.7275628678787215
SPY,5m,GARCH,3875,,5,0.05958504201914115,0.24410047525382075,0.19871400599829972,-0.710106963050332,-0.5809220117834186
SPY,10m,SIG,1925,39.0,5,0.06320322186464794,0.2514025096625886,0.1511138688570357,0.05712461775009925,-0.3517253949088796
SPY,10m,HAR_RV,1925,,5,0.0687294826420813,0.26216308405662553,0.16962335401065715,-0.02531699027573464,-0.26627548412757185
SPY,10m,XGBOOST,1925,,5,0.07509083973048394,0.2740270784621183,0.17736428899969015,-0.12021669347758457,-0.2860036660714027
SPY,10m,GARCH,1925,,5,0.11187511718179255,0.3344773791780134,0.28483901738624817,-0.6689702006478981,-0.18484125613457955
SPY,1h,SIG,4205,35.0,5,0.27256415025535646,0.522076766630499,0.34581247529163545,0.05700497957206352,0.5179686235058625
SPY,1h,HAR_RV,4205,,5,0.23062209367230965,0.4802312918504058,0.3118377167044492,0.20211265593840044,0.4860933664997247
SPY,1h,XGBOOST,4205,,5,0.26168621989063584,0.5115527537709438,0.3316908699557248,0.09463954800992713,0.5168372650629012
SPY,1h,GARCH,4205,,5,0.3113876351225397,0.5580211780233253,0.4592004891253841,-0.07731331896835036,0.5539596588315542
SPY,1d,SIG,2070,60.0,5,3.128247887575279,1.7686853557304303,1.112063638388649,-0.13626933907119154,1.8120246326036233
SPY,1d,HAR_RV,2070,,5,1.6508150149581455,1.2848404628428176,0.7774346254493978,0.40037664744362367,1.7101128754519834
SPY,1d,XGBOOST,2070,,5,2.559728832836723,1.5999152580173497,0.8829545428002283,0.07023308458356192,1.7549832178609728
SPY,1d,GARCH,2070,,5,2.089638099088189,1.445558058013648,1.0020892021708758,0.2409835195032065,1.7112017828677495
