timestamp,open,high,low,close,volume,log_close,log_return
2026-02-12 14:40:00+00:00,694.8099975585938,695.3499755859375,693.1099853515625,693.3201293945312,3015401,6.541491839703409,-0.0021321770944116025
2026-02-12 14:50:00+00:00,693.3200073242188,693.989990234375,692.3200073242188,692.8300170898438,2857355,6.540784683517833,-0.000707156185575819
2026-02-12 15:00:00+00:00,692.8300170898438,693.6300048828125,692.1599731445312,692.4199829101562,2167089,6.540192683241114,-0.00059200027671924
2026-02-12 15:10:00+00:00,692.4249877929688,693.6199951171875,692.22998046875,692.8099975585938,1754316,6.540755787800273,0.0005631045591591999
2026-02-12 15:20:00+00:00,692.8099975585938,693.72998046875,692.510009765625,693.0650024414062,1515344,6.541123793407836,0.00036800560756322653
2026-02-12 15:30:00+00:00,693.0800170898438,693.47998046875,690.97998046875,691.14501953125,2147556,6.538349670823851,-0.002774122583985239
2026-02-12 15:40:00+00:00,691.14501953125,691.3150024414062,690.22998046875,690.501220703125,2850841,6.537417740701694,-0.0009319301221566434
2026-02-12 15:50:00+00:00,690.5050048828125,690.7999877929688,688.5850219726562,688.6500244140625,2706878,6.534733194815402,-0.002684545886292078
2026-02-12 16:00:00+00:00,688.6500244140625,688.8049926757812,686.8499755859375,687.0399780273438,4602931,6.53239248270879,-0.0023407121066121306
2026-02-12 16:10:00+00:00,687.030029296875,687.1599731445312,685.125,685.5349731445312,4663312,6.530199516146678,-0.0021929665621120975
2026-02-12 16:20:00+00:00,685.530029296875,685.6900024414062,683.5750122070312,683.5999755859375,5892088,6.527372915527476,-0.0028266006192021464
2026-02-12 16:30:00+00:00,683.594970703125,685.8200073242188,683.5250244140625,685.5800170898438,4861065,6.530265220257054,0.0028923047295785764
2026-02-12 16:40:00+00:00,685.5800170898438,685.8400268554688,684.0499877929688,684.52001953125,2924960,6.528717891242018,-0.0015473290150360697
2026-02-12 16:50:00+00:00,684.5,684.9099731445312,683.8900146484375,684.6400146484375,2129252,6.528893174064331,0.00017528282231271675
2026-02-12 17:00:00+00:00,684.6300048828125,685.0999755859375,683.3800048828125,684.8200073242188,2703376,6.529156040703634,0.0002628666393027501
2026-02-12 17:10:00+00:00,684.8099975585938,684.8400268554688,683.4600219726562,683.52001953125,1608951,6.527255945466232,-0.0019000952374019775
2026-02-12 17:20:00+00:00,683.510009765625,685.27001953125,683.510009765625,684.1199951171875,2730966,6.528133333694128,0.0008773882278960698
2026-02-12 17:30:00+00:00,684.0999755859375,685.5750122070312,683.8800048828125,684.8200073242188,1846931,6.529156040703634,0.0010227070095059076
2026-02-12 17:40:00+00:00,684.8300170898438,685.3989868164062,684.1199951171875,684.4349975585938,1315174,6.528593676827805,-0.000562363875828531
2026-02-12 17:50:00+00:00,684.4400024414062,684.9099731445312,682.9500122070312,682.989990234375,1740558,6.5264802038768295,-0.0021134729509757477
2026-02-12 18:00:00+00:00,682.989990234375,684.1199951171875,682.47998046875,683.3699951171875,1787702,6.527036433416166,0.000556229539336428
2026-02-12 18:10:00+00:00,683.3900146484375,683.5599975585938,682.47998046875,682.6199951171875,1158089,6.5259383286266335,-0.001098104789532428
2026-02-12 18:20:00+00:00,682.6201171875,683.7650146484375,682.219970703125,683.1699829101562,2577812,6.526743705487711,0.0008053768610771783
2026-02-12 18:30:00+00:00,683.1649780273438,684.239990234375,682.7999877929688,684.2399291992188,1930261,6.5283086297989135,0.0015649243112028088
2026-02-12 18:40:00+00:00,684.239990234375,685.0449829101562,683.8400268554688,684.5800170898438,1854729,6.5288055364936834,0.000496906694769983
2026-02-12 18:50:00+00:00,684.5800170898438,685.3250122070312,684.2949829101562,684.7100219726562,1753426,6.528995423047291,0.0001898865536071881
2026-02-12 19:00:00+00:00,684.7000122070312,685.1300048828125,684.3099975585938,684.47998046875,1643536,6.528659397359606,-0.00033602568768476004
2026-02-12 19:10:00+00:00,684.47998046875,685.14501953125,683.594970703125,685.0499877929688,1784033,6.529491810479935,0.0008324131203290008
2026-02-12 19:20:00+00:00,685.0499877929688,685.4199829101562,684.010009765625,684.1500244140625,1738539,6.528177227511066,-0.0013145829688685495
2026-02-12 19:30:00+00:00,684.1300048828125,685.3599853515625,684.1199951171875,685.3300170898438,1546589,6.529900499018551,0.0017232715074850802
